registrant,n_lost,lost_trail4_income,n_new,net
BALLARD PARTNERS,25,6040000,41,16
HOLLAND & KNIGHT LLP,24,2400000,28,4
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",23,4740000,25,2
"CONTINENTAL STRATEGY, LLC",16,3738071,20,4
"MILLER STRATEGIES, LLC",14,4050000,18,4
CHECKMATE GOVERNMENT RELATIONS,8,2800000,23,15
BOUNDARY STONE PARTNERS,25,2930000,3,-22
CAPITOL COUNSEL LLC,4,670000,24,20
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",15,2350000,13,-2
THE VOGEL GROUP,19,1990700,9,-10
AKIN GUMP STRAUSS HAUER & FELD,14,1390000,13,-1
STRATEGIES 360,26,2390000,0,-26
THORN RUN PARTNERS,12,1400000,13,1
BGR GOVERNMENT AFFAIRS,6,1080000,18,12
INVARIANT LLC,13,2390000,11,-2
"MANATT, PHELPS, AND PHILLIPS",7,337500,17,10
"BECKER & POLIAKOFF, P.A.",15,980000,8,-7
"TSG ADVOCATES DC, LLC",4,305000,19,15
"CASSIDY & ASSOCIATES, INC.",10,1300000,11,1
"CORCORAN & ASSOCIATES, INC. DBA CORCORAN PARTNERS",4,105000,17,13
"SBL STRATEGIES, LLC",21,2770000,0,-21
SQUIRE PATTON BOGGS,8,880000,13,5
COLLECTIVE STRATEGIES & COMMUNICATIONS,0,,19,19
"JEFFREY J. KIMBELL & ASSOCIATES, INC.",9,600000,9,0
FORBES-TATE,10,890000,7,-3
MICHAEL BEST STRATEGIES LLC,6,660000,11,5
"CROSSROADS STRATEGIES, LLC",8,830000,8,0
HORIZON GOVERNMENT AFFAIRS,15,1810000,1,-14
"MERCURY PUBLIC AFFAIRS, LLC",10,1360000,6,-4
"CGCN GROUP, LLC",14,2330000,1,-13
STRATEGIC MARKETING INNOVATIONS,8,860000,7,-1
ANCHOR & ARROW STRATEGIES,13,1360000,1,-12
"ALPINE GROUP PARTNERS, LLC.",9,1510000,4,-5
"K&L GATES, LLP",9,540000,4,-5
"MERCHANT MCINTYRE & ASSOCIATES, LLC",5,510000,8,3
"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)",5,520000,8,3
"WILLIAMS AND JENSEN, PLLC",5,890000,8,3
CROWELL & MORING LLP,11,860000,1,-10
MCGUIREWOODS CONSULTING (A SUBSIDIARY OF MCGUIREWOODS LLP),11,670000,1,-10
DLA PIPER LLP (US),3,570000,8,5
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),8,860000,3,-5
KING & SPALDING LLP,4,500000,7,3
PILLSBURY WINTHROP SHAW PITTMAN LLP,7,500000,4,-3
VAN SCOYOC ASSOCIATES,2,280000,9,7
VENABLE LLP,7,680000,4,-3
J.A. GREEN AND COMPANY (FORMERLY LLC),7,1140000,3,-4
LOBBYIT.COM,3,195000,7,4
"SANDLER, TRAVIS & ROSENBERG, P.A.",0,,10,10
"TAFT STETTINIUS & HOLLISTER LLP DBA TAFT ADVISORS LLC FKA (TAFT, STETTINIUS & HOLLISTER,LLP)",10,800000,0,-10
"ALBERTINE ENTERPRISES, INC.",9,,0,-9
"BANNER PUBLIC AFFAIRS, LLC",9,860000,0,-9
COZEN O'CONNOR PUBLIC STRATEGIES,7,110000,2,-5
DENTONS US LLP,6,350000,3,-3
"LIBERTY PARTNERS GROUP, LLC",3,80000,6,3
LOT SIXTEEN LLC,5,530000,4,-1
"MEHLMAN CONSULTING, INC.",7,1220000,2,-5
S-3 GROUP,4,530000,5,1
THE BERNHARDT GROUP LLC,4,460000,5,1
CAPITOL HILL COMMUNICATIONS,0,,8,8
"CAPITOL TAX PARTNERS, LLP",7,1140000,1,-6
"ERVIN GRAVES STRATEGY GROUP, LLC",5,500000,3,-2
HOGAN LOVELLS US LLP,5,1460000,3,-2
"MINDSET ADVOCACY, LLC",2,300000,6,4
"MO STRATEGIES, INC.",1,20000,7,6
MONUMENT ADVOCACY,5,570000,3,-2
STEPTOE LLP,6,1170000,2,-4
"THE SMITH-FREE GROUP, LLC",8,265000,0,-8
ACORN CONSULTING,6,150000,1,-5
"AVOQ, LLC",5,1220000,2,-3
CLARK HILL PUBLIC STRATEGIES LLC,5,170000,2,-3
FOLEY & LARDNER LLP,4,445000,3,-1
J M BURKMAN & ASSOCIATES,6,65000,1,-5
"MCALLISTER & QUINN, LLC",5,640000,2,-3
MISSION STRATEGIES LLC (ENERGY),0,,7,7
MR. THOMAS MARQUEZ,6,207500,1,-5
PENN AVENUE PARTNERS,4,380000,3,-1
"PHRONESISDC, LLC",5,650000,2,-3
ALSTON & BIRD LLP,2,90000,4,2
ARENTFOX SCHIFF LLP,2,,4,2
ARNOLD & PORTER KAYE SCHOLER LLP,3,710000,3,0
ATLAS CROSSING LLC,4,400000,2,-2
CARMEN GROUP INCORPORATED,4,487000,2,-2
CURRENT STRATEGIES,0,,6,6
"HARBINGER STRATEGIES, LLC",5,960000,1,-4
KILEY & ASSOCIATES,2,40000,4,2
KILPATRICK TOWNSEND AND STOCKTON,4,180000,2,-2
MAYER BROWN LLP,2,50000,4,2
"RUBIN, TURNBULL & ASSOCIATES",0,,6,6
"TIDAL BASIN ADVISORS, INC.",6,520000,0,-6
VENN STRATEGIES,4,640000,2,-2
"YC CONSULTING, LLC",2,90000,4,2
"1607 STRATEGIES, LLC",2,365000,3,1
"ACTIVE POLICY SOLUTIONS, LLC",5,40000,0,-5
"ACTUM I, LLC",5,595000,0,-5
ALTA CREST LLC,3,41500,2,-1
BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ,4,240000,1,-3
BLANK ROME GOVERNMENT RELATIONS,2,110000,3,1
"BOCKORNY GROUP, INC.",3,252500,2,-1
BUCHANAN INGERSOLL & ROONEY PC,3,200000,2,-1
CAPITOL HILL CONSULTING GROUP,2,440000,3,1
"CARPI & CLAY, INC",3,120000,2,-1
CONVERGE PUBLIC STRATEGIES,0,,5,5
"ELEVATE GOVERNMENT AFFAIRS, LLC",0,,5,5
FORWARD GLOBAL,1,27500,4,3
"GUIDEPOSTSTRATEGIES, LLC",2,500000,3,1
HOLLINGER GROUP CONSULTING,1,30000,4,3
IMPERIUM GLOBAL ADVISORS,3,45000,2,-1
"INNOVATIVE FEDERAL STRATEGIES, LLC",4,250000,1,-3
KEEFE STRATEGIES LLC (FKA KEEFE SINGISER PARTNERS),5,330000,0,-5
KELLEY DRYE & WARREN LLP,1,40000,4,3
LAVENDER CONSULTANTS,5,590000,0,-5
MARBLE ARCH,2,120000,3,1
"MASON STREET CONSULTING, LLC",3,540000,2,-1
MAYNARD NEXSEN PC,0,,5,5
MICHAEL R. PAWLOWSKI,4,,1,-3
"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",5,410000,0,-5
OGR,4,480000,1,-3
PATEL PARTNERS LLC,3,205000,2,-1
PRIME POLICY GROUP,3,390000,2,-1
"TARPLIN, DOWNS & YOUNG, LLC",2,280000,3,1
THE DUBERSTEIN GROUP INC.,0,,5,5
THE FERGUSON GROUP,4,148000,1,-3
"THE LIVINGSTON GROUP, LLC",2,320000,3,1
VALCOUR LLC,2,270000,3,1
ACG ADVOCACY,1,90000,3,2
"ADAMS AND REESE, LLP",3,140000,1,-2
"ANNDYL POLICY GROUP, LLC",4,30000,0,-4
AUSTIN LEGAL AND PUBLIC AFFAIRS PLLC,0,,4,4
AVENUE SOLUTIONS,2,300000,2,0
AXADVOCACY GOVERNMENT RELATIONS,1,,3,2
BEST BEST & KRIEGER LLP,4,280000,0,-4
CONSTITUTION PARTNERS,2,,2,0
"DAVIDOFF HUTCHER & CITRON, LLP",2,40000,2,0
"DRAKE VENTURES, LLC",2,660000,2,0
"FAHMY HUDOME INTERNATIONAL, LLC",3,680000,1,-2
FARRAGUT PARTNERS LLP,0,,4,4
FEDERAL BUSINESS GROUP,4,180000,0,-4
G2G CONSULTING,2,10000,2,0
"KEYS GROUP, LLC",2,,2,0
"LEWIS-BURKE ASSOCIATES, LLC",4,240000,0,-4
"LSN PARTNERS, LLC",4,850000,0,-4
"POWERS PYLES SUTTER & VERVILLE, P.C.",3,,1,-2
"QUICKEL CONSULTING SERVICES, LLC",4,192000,0,-4
REVERE FEDERAL STRATEGIES,2,115000,2,0
"SIGHTLINE ADVOCACY, LLC",0,,4,4
"THE ABECEDARIAN GROUP, LLC",2,65000,2,0
THE DIONNE COMPANY,2,120000,2,0
THE INGRAM GROUP LLC,2,150000,2,0
THE MADISON GROUP,4,842000,0,-4
"THEGROUP DC, LLC",2,240000,2,0
TIBER CREEK GROUP,1,200000,3,2
"TONIO BURGOS & ASSOCIATES, INC.",2,120000,2,0
"TOWER STRATEGY, LLC",0,,4,4
"38 NORTH SOLUTIONS, LLC",3,360000,0,-3
ALIGNMENT GOVERNMENT STRATEGIES,3,280000,0,-3
AMERICAN CAPITOL GROUP,3,150000,0,-3
AQUIA GROUP INC. (F.K.A. AQUIA GROUP LLC),0,,3,3
ARK STRATEGY,1,160000,2,1
ATLAS ADVOCACY,1,60000,2,1
"BARNES & THORNBURG, LLP",2,150000,1,-1
BONDI PARTNERS ADVOCACY CORP. (FKA PACIFIC PARTNERS),1,150000,2,1
BOSE PUBLIC AFFAIRS GROUP,3,158000,0,-3
BROYDRICK & ASSOCIATES,3,50000,0,-3
C2 STRATEGIES,0,,3,3
CAPITAL PARK PARTNERS LLC,1,50000,2,1
"CAVAROCCHI RUSCIO DENNIS ASSOCIATES, L.L.C.",1,,2,1
CHAMBER HILL STRATEGIES,3,230000,0,-3
"COASPIRE, LLC",3,240000,0,-3
"COVENANT GOVERNMENT AFFAIRS, LLC",3,415000,0,-3
DA VINCI GROUP,3,250000,0,-3
"DB3, LLC (FKA THE DASCHLE GROUP)",2,300000,1,-1
DGA GROUP GOVERNMENT RELATIONS LLC,1,40000,2,1
DUTKO GOVERNMENT RELATIONS,3,20000,0,-3
EAST CAPITOL ADVISORS LLC,1,15000,2,1
EIS SOLUTIONS,0,,3,3
EPPLIN STRATEGIC PLANNING,3,440000,0,-3
ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),3,320000,0,-3
ETHAN DURSTELER,1,12000,2,1
FAEGRE DRINKER BIDDLE & REATH LLP,2,380000,1,-1
FEROX STRATEGIES,2,200000,1,-1
FIERCE GOVERNMENT RELATIONS,2,360000,1,-1
FS VECTOR LLC,3,,0,-3
"GIPPER COMMUNICATIONS, LLC",1,110000,2,1
"GOVERNMENT RELATIONS GROUP, LLC",0,,3,3
GRAYROBINSON PA,1,100000,2,1
"GREENBERG TRAURIG, LLP",3,230000,0,-3
"GSL FEDERAL STRATEGIES, LLC",0,,3,3
"HALL, RENDER, KILLIAN, HEATH & LYMAN, P.C.",3,124000,0,-3
"HEALTH POLICY SOURCE, INC.",1,40000,2,1
HOLLIER & ASSOCIATES,3,310000,0,-3
"ICEBREAKER STRATEGIES, LLC",0,,3,3
"JIM MASSIE & PARTNERS, LLC",2,350000,1,-1
KAMRAN DARAVI CONSULTING LLC,0,,3,3
KELLER PARTNERS & COMPANY,0,,3,3
KEVIN KAYES,3,320000,0,-3
KLEIN/JOHNSON GROUP,3,500000,0,-3
"KOUNTOUPES DENHAM CARR & REID, LLC",0,,3,3
LARKIN HOFFMAN,0,,3,3
"LOCKE LOBBYING CO., LLC",0,,3,3
MCCARTIN PUBLIC POLICY GROUP LLC,3,171000,0,-3
MCDERMOTT+ LLC,2,355000,1,-1
MILLER & CHEVALIER CHARTERED,2,200000,1,-1
"ML STRATEGIES, LLC",3,160000,0,-3
MS. GWENDOLYN O'BRIEN DONALDSON,3,30000,0,-3
NATURAL RESOURCE RESULTS LLC,3,220000,0,-3
"NEALE CREEK, LLC",3,210000,0,-3
NELSON MULLINS RILEY & SCARBOROUGH,3,240000,0,-3
NESTPOINT ASSOCIATES LLC,2,170000,1,-1
NEW CENTURY GOVERNMENT AFFAIRS (F/K/A TERRENCE C. WOLFE),2,80000,1,-1
"NEW LANTERN, LLC",0,,3,3
"NEXXUS CONSULTING, LLC",0,,3,3
O'NEILL AND ASSOCIATES,2,91000,1,-1
"O'NEILL, ATHY & CASEY, P.C.",3,520000,0,-3
"OLD NORTH STRATEGIES, LLC",3,131250,0,-3
PENN HILL GROUP,3,400000,0,-3
PERSPECTIVE STRATEGIES,1,160000,2,1
"PLATINUM ADVISORS DC, LLC",3,330000,0,-3
"PLURUS STRATEGIES, LLC",3,150000,0,-3
"POBLETE TAMARGO, LLP",1,,2,1
"POLARIS GOVERNMENT RELATIONS, LLC",1,120000,2,1
PORTER WRIGHT MORRIS & ARTHUR LLP,0,,3,3
PRIMACY STRATEGY GROUP,3,80000,0,-3
ROBERT ROZEN,3,190000,0,-3
ROCK CREEK COUNSEL,3,360000,0,-3
"ROSS TAYLOR & ASSOCIATES, LLC",0,,3,3
SCHAERR JAFFE LLP,2,150000,1,-1
"SHUMAKER ADVISORS, LLC",0,,3,3
"SMITH ADVOCACY GROUP, LLC",2,80000,1,-1
SMITH GARSON,2,50000,1,-1
SNYDER GRESSARD STRATEGY,1,20000,2,1
STIERS LLC,1,80000,2,1
SUSTAINABLE STRATEGIES DC,0,,3,3
TELEGRAPH AVENUE ADVISORS,1,,2,1
"TENAGRITY SOLUTIONS, LLC",1,,2,1
"TERRAPIN STRATEGY, INC",0,,3,3
THE BENNETT CONSULTING GROUP,3,30000,0,-3
"THE CORMAC GROUP, LLC",0,,3,3
THE FITHIAN GROUP LLC,3,,0,-3
"THE MCKEON GROUP, INC.",3,60000,0,-3
THE MCMANUS GROUP,1,200000,2,1
"THE PICARD GROUP, LLC",1,200000,2,1
"THE RUSSELL GROUP, INC.",3,480000,0,-3
TROUTMAN STATEGIES,1,60000,2,1
VARYAG LLC,2,105000,1,-1
"WARWICK GROUP CONSULTANTS, LLC",1,,2,1
WILMER CUTLER PICKERING HALE AND DORR LLP,3,200000,0,-3
A1.9 STRATEGIES LLC,1,160000,1,0
"ALLON ADVOCACY, LLC",2,20000,0,-2
"AMERICAN DEFENSE INTERNATIONAL, INC.",2,260000,0,-2
ANKURA ADVOCACY LLC,1,90000,1,0
ANN AQUILLO CONSULTING LLC,2,90000,0,-2
ARETE PUBLIC AFFAIRS,0,,2,2
"ARTICLE ONE GROUP, LLC",2,185000,0,-2
AVIVA STRATEGIES (FKA MGB CONSULTING),0,,2,2
B+S STRATEGIES,2,210000,0,-2
BABBAGE COFOUNDER,1,60000,1,0
BAKER & HOSTETLER LLP,0,,2,2
"BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",1,10000,1,0
BEN BARNES GROUP LP,2,107500,0,-2
"BERQUAM VENTURES, LLC",2,180000,0,-2
BLOOM STRATEGIC COUNSEL,2,80000,0,-2
"BLUE RIDGE LAW & POLICY, P.C.",1,30000,1,0
BOB RILEY & ASSOCIATES,0,,2,2
BRACEWELL LLP,0,,2,2
BRAMER GROUP LLC,2,203000,0,-2
"BRANSTAD CHURCHILL GROUP, LLC",0,,2,2
BREAKAWAY,1,102500,1,0
BRIAN GLACKIN & ASSOCIATES LLC,2,70000,0,-2
"BRIDGE PUBLIC AFFAIRS, LLC",0,,2,2
BRIDGEWAY ADVOCACY,0,,2,2
BRUMIDI GROUP,1,137500,1,0
BURRELL INTERNATIONAL GROUP LLC,2,160000,0,-2
CAPCVENTURES LLC,0,,2,2
"CAPGOV, LLC",0,,2,2
"CAPITOL CITY GROUP, LTD.",2,60000,0,-2
CAPITOL PATH CONSULTING LLC FKA CULTON CONSULTING LLC,2,30000,0,-2
CAPITOL VENTURE LLC,0,,2,2
CAPITOL VIEW PARTNERS,0,,2,2
CARDINAL INFRASTRUCTURE LLC,1,30000,1,0
CARSON CONSULTING,0,,2,2
CHARTWELL STRATEGY GROUP LLC,1,30000,1,0
CHM LLC DBA ATLAS COMMUNITY STUDIOS,0,,2,2
CLARK STREET ASSOCIATES,2,380000,0,-2
"CLINE STRATEGIC CONSULTING, LLC",1,110000,1,0
COGENT STRATEGIES LLC,1,20000,1,0
CONSILIUM CONSULTING,0,,2,2
CONTINENTAL CONSULTING GROUP CORPORATION,1,,1,0
CORRIGAN & USSERY LLC,1,100000,1,0
COVE STRATEGIES,1,100000,1,0
COVINGTON & BURLING LLP,1,,1,0
"COVINO SMITH & SIMON, INC. (FORMERLY SIMON AND COMPANY, INC.)",2,83892,0,-2
CR FEDERAL,1,180000,1,0
CROSS POTOMAC CONSULTING LLC,1,10000,1,0
CULINA HEALTH,1,,1,0
CUNEO GILBERT & LADUCA,0,,2,2
DAUGHERTY STRATEGIES LLC,1,,1,0
DAVENPORT POLICY,2,99000,0,-2
DAVID CARLUCCI CONSULTING,0,,2,2
DCM GROUP LLC,1,,1,0
DUANE MORRIS LLP,2,,0,-2
EASTPORT STRATEGIES LLC,0,,2,2
"EJK, LLC",0,,2,2
FEDERAL SCIENCE PARTNERS LLC,1,110000,1,0
FIDELITY STRATEGIES,0,,2,2
FIFTH WAVE LLC,0,,2,2
FLYWHEEL GOVERNMENT SOLUTIONS,0,,2,2
FOLGER SQUARE GROUP LLC,2,,0,-2
FRONTLINE GOVERNMENT RELATIONS,1,90000,1,0
GENESIS GROUP LLC,1,,1,0
"GOVERNMENT AFFAIRS SOLUTIONS, LLC",0,,2,2
GROISMAN LLC,0,,2,2
"H.A. CUMBER & COMPANY, INC.",0,,2,2
HARBORPOINT STRATEGIES LLC,0,,2,2
HB STRATEGIES,1,140000,1,0
HEALTHSPERIEN,1,70500,1,0
HIGH STREET STRATEGIES LLC,1,46500,1,0
"HILL EAST GROUP, LLC",0,,2,2
"HILL, GOSDECK & MCGRAW, LLC",2,72000,0,-2
HORIZONS GLOBAL SOLUTIONS LLC,2,135000,0,-2
"HUSCH BLACKWELL, LLP",2,10000,0,-2
I STREET ADVOCATES,1,80000,1,0
IKON PUBLIC AFFAIRS,0,,2,2
"INTEGER, LLC",0,,2,2
INTERSECTION,1,70000,1,0
INVOKE LLC,1,180000,1,0
JAVELIN ADVISORS LLC,0,,2,2
"JBS COMMUNICATIONS, LLC",2,20000,0,-2
JTR STRATEGIES LLC,0,,2,2
"LANGLEY CONSULTING, LLC",2,50000,0,-2
"LAURA WOOD PETERSON CONSULTING, INC.",2,130000,0,-2
LILETTE ADVISORS,2,60000,0,-2
"LONE STAR CONSULTING, LLC",1,20000,1,0
MAVEN ADVOCACY PARTNERS LLC,0,,2,2
"MAYNOR & STIERS, LLC",2,260000,0,-2
"MCCLINTOCK ASSOCIATES, INC.",1,,1,0
"MEEKS, BUTERA & ISRAEL PLLC",1,,1,0
"MERCURY STRATEGIES, LLC",2,155000,0,-2
MG HOUSING STRATEGIES LLC,2,110000,0,-2
MILLER & WENHOLD CAPITOL STRATEGIES,1,60000,1,0
MR. DOYCE BOESCH,2,144000,0,-2
NEXUSONE CONSULTING,1,270000,1,0
"NVG, LLC",2,250000,0,-2
"OCULUS STRATEGIES, LLC",0,,2,2
OWEN EVANS INGOLS,2,420000,0,-2
PATTERSON & MEEK,1,5000,1,0
"POLICY INTEGRATION PARTNERS, LLC",1,10000,1,0
"PORTER GROUP, LLC",0,,2,2
RESILIENT PARTNERS LLC,2,,0,-2
"RESTON STRATEGY GROUP, LLC",1,15000,1,0
RISING TIDE ASSOCIATES,1,,1,0
SACHEM STRATEGIES,1,80000,1,0
SALT POINT STRATEGIES,2,40000,0,-2
"SANDERS INTERNATIONAL GROUP, LLC",2,,0,-2
SAUNDERS GLOBAL DIPLOMACY,1,52500,1,0
SIDLEY AUSTIN LLP,1,110000,1,0
SKYLINE CAPITOL LLC,1,105000,1,0
"SORINI, SAMET & ASSOCIATES, LLC",0,,2,2
STANTON PARK GROUP,2,60000,0,-2
STATE FEDERAL STRATEGIES,2,195000,0,-2
STINSON LLP,2,20000,0,-2
"TAI GINSBERG & ASSOCIATES, LLC",2,70000,0,-2
TEAM HALLAHAN LLC,2,110000,0,-2
"THE ARTEMIS GROUP, LLC (OKLAHOMA)",1,160000,1,0
THE BROOKMONT GROUP LLC,2,,0,-2
"THE CJR GROUP, INC.",2,205000,0,-2
"THE COLLING GROUP, LLC T/A COLLING SWIFT & HYNES",2,379165,0,-2
"THE CONAFAY GROUP, LLC",2,40000,0,-2
THE DOERRER GROUP LLC,2,160000,0,-2
THE FEIGHAN TEAM,2,,0,-2
"THE MAJORITY GROUP, LLC",1,,1,0
"THE NICKLES GROUP, LLC",1,160000,1,0
"THE PETRIZZO GROUP, INC.",2,550000,0,-2
THE ROOSEVELT GROUP,2,250000,0,-2
TIGER HILL PARTNERS LLC,2,140000,0,-2
"TIMOTHY R. RUPLI & ASSOCIATES, INC.",0,,2,2
TODD STRATEGY GROUP,1,60000,1,0
"TORREY ADVISORY GROUP (FORMERLY MICHAEL TORREY ASSOCIATES, LLC)",2,120000,0,-2
TREMONT STRATEGIES GROUP LLC,0,,2,2
TULIPIFERA STRATEGIES,1,,1,0
VELOCITY GOVERNMENT RELATIONS,2,189339,0,-2
VICTORY COALITION STRATEGIES LLC,2,535000,0,-2
"VNF SOLUTIONS, LLC",2,230000,0,-2
WASHINGTON HEALTH STRATEGIES GROUP,2,160000,0,-2
WASHINGTON NAVIGATORS,0,,2,2
WATERSHED RESULTS LLC,2,110000,0,-2
WHEAT SHROYER GOVERNMENT RELATIONS LLC,2,,0,-2
WINDON GLOBAL STRATEGIES,2,160000,0,-2
WINNING STRATEGIES WASHINGTON,1,120000,1,0
"XLA ADVISORS, LLC",0,,2,2
"23 CONSULTING, LLC",0,,1,1
"535 GROUP, LLC",0,,1,1
725 STRATEGIES,0,,1,1
ACCELERATE STRATEGIES,0,,1,1
ACUITY STRATEGIC PARTNERS LLC,0,,1,1
ADVOCACY ASSOCIATES,1,,0,-1
AGUSTAWESTLAND PHILADELPHIA CORPORATION,0,,1,1
AIR SPACE INTELLIGENCE INC.,0,,1,1
"AJW, INC.",0,,1,1
AKERMAN LLP,1,110000,0,-1
"ALEXANDER J. BECKLES, L.L.C.",1,80000,0,-1
"ALEXANDER, BOROVICKA & O'SHEA GOVERNMENT SOLUTIONS (FKA ALEXANDER & BOROVICKA GOVERNMENT SOLUTIONS)",0,,1,1
ALFRED LAWSON,1,72000,0,-1
ALKI STRATEGIES LLC,0,,1,1
"ALTRIUS GROUP, LLC",1,12000,0,-1
"ALVA ELLIOTT PARTNERS, LLC",1,60000,0,-1
AMANDA GORT,1,,0,-1
AMELIORATE LLC,0,,1,1
AMERICAN ASSOCIATION OF COLLEGIATE REGISTRARS AND ADMISSIONS OFFICERS,1,,0,-1
AMERICAN BIRD CONSERVANCY ACTION FUND,0,,1,1
AMERICAN MADE STRATEGIES LLC,0,,1,1
AMERICANS FOR THE COMMON GOOD,0,,1,1
AMERIPEN,1,,0,-1
ANAKLIA DEVELOPMENT CONSORTIUM LLC,1,,0,-1
ANYWHERE REAL ESTATE INC.,1,,0,-1
APCO WORLDWIDE LLC,1,,0,-1
APPALACHIAN TRAIL CONSERVANCY,1,,0,-1
ARMORY HILL ADVOCATES (FORMERLY KNOWN AS RAWLSON POLICY GROUP),1,,0,-1
